item_id,sku,title,brand,price,currency,availability,gender,description,scraped_at
SS100000,MAR-5479,Marcelo Burlon Gloves,Marcelo Burlon,85.04,USD,In Stock,Women,Gloves by Marcelo Burlon.,2026-06-15
SS100001,A.P-7146,A.P.C. T-Shirt,A.P.C.,242.07,USD,Sold Out,Women,T-Shirt by A.P.C..,2026-06-15
SS100002,STU-5166,Stussy Derby Shoes,Stussy,135.41,USD,In Stock,Men,Derby Shoes by Stussy.,2026-06-15
SS100003,GAN-3041,Ganni Shorts,Ganni,315.45,USD,In Stock,Men,Shorts by Ganni.,2026-06-15
SS100004,AXE-4916,Axel Arigato Denim Jacket,Axel Arigato,139.94,USD,Low Stock,Women,Denim Jacket by Axel Arigato.,2026-06-15
SS100005,MAI-3594,Maison Margiela Denim Jacket,Maison Margiela,1210.67,USD,In Stock,Women,Denim Jacket by Maison Margiela.,2026-06-15
SS100006,BAL-5243,Balenciaga Turtleneck,Balenciaga,2491.32,USD,Low Stock,Men,Turtleneck by Balenciaga.,2026-06-15
SS100007,RIC-5129,Rick Owens Sandals,Rick Owens,1213.22,USD,In Stock,Women,Sandals by Rick Owens.,2026-06-15
SS100008,WON-1712,Won Hundred Parka,Won Hundred,176.38,USD,In Stock,Women,Parka by Won Hundred.,2026-06-15
SS100009,COM-5981,Comme des Garcons Polo Shirt,Comme des Garcons,656.17,USD,In Stock,Women,Polo Shirt by Comme des Garcons.,2026-06-15
SS100010,MAR-9932,Marni Coat,Marni,373.68,USD,In Stock,Men,Coat by Marni.,2026-06-15
SS100011,BAL-1524,Balenciaga Coat,Balenciaga,789.87,USD,In Stock,Women,Coat by Balenciaga.,2026-06-15
SS100012,STU-4682,Stussy Trousers,Stussy,201.28,USD,In Stock,Women,Trousers by Stussy.,2026-06-15
SS100013,STU-2502,Stussy Shoulder Bag,Stussy,75.86,USD,In Stock,Men,Shoulder Bag by Stussy.,2026-06-15
SS100014,COM-9441,Comme des Garcons Cargo Pants,Comme des Garcons,308.25,USD,In Stock,Men,Cargo Pants by Comme des Garcons.,2026-06-15
SS100015,AXE-5014,Axel Arigato Backpack,Axel Arigato,219.29,USD,In Stock,Men,Backpack by Axel Arigato.,2026-06-15
SS100016,FER-4050,Ferragamo Cargo Pants,Ferragamo,304.62,USD,In Stock,Men,Cargo Pants by Ferragamo.,2026-06-15
SS100017,THE-7296,The Row Derby Shoes,The Row,949.74,USD,Sold Out,Men,Derby Shoes by The Row.,2026-06-15
SS100018,OFF-1713,Off-White Jeans,Off-White,324.58,USD,In Stock,Women,Jeans by Off-White.,2026-06-15
SS100019,GAN-5101,Ganni Shoulder Bag,Ganni,172.12,USD,In Stock,Men,Shoulder Bag by Ganni.,2026-06-15
SS100020,MAI-5434,Maison Margiela Polo Shirt,Maison Margiela,1765.06,USD,Low Stock,Men,Polo Shirt by Maison Margiela.,2026-06-15
SS100021,RIC-6645,Rick Owens Shorts,Rick Owens,1268.68,USD,In Stock,Men,Shorts by Rick Owens.,2026-06-15
SS100022,ISA-2693,Isabel Marant Bomber Jacket,Isabel Marant,229.86,USD,In Stock,Men,Bomber Jacket by Isabel Marant.,2026-06-15
